Claims extracted from patent HUPD dataset,GPT-4 generated claims,Rating by Expert 1,Rating by Expert 2,Rating by Expert 3,Expert's mean score
1. An X-ray CT apparatus comprising: an X-ray tube device that irradiates X-rays to an object from a plurality of focal spots; an X-ray detector that is disposed oppositely to the X-ray tube device for detecting transmission X-rays transmitted through the object; a rotary disk that is equipped with the X-ray tube device and the X-ray detector and rotates around the object; a focal shift X-ray controller that shifts the focal spots in the X-ray tube device to arbitrary positions; a focal shift projection data generation unit that generates focal shift projection data in combination with the transmission X-rays by each of the irradiated X-rays whose focal spots were shifted to a plurality of positions by the focal shift X-ray controller; a virtual view generation unit that generates a virtual view in the view direction of the focal shift projection data to generate up-sampled projection data using the virtual view; and a reconstruction computing unit that reconstructs an image using actual data of the focal shift projection data in a central region closer to the image center than a predetermined boundary in the image plane and using the up-sampled projection data in a peripheral region outside the boundary.,1. An X-ray CT apparatus comprising: an X-ray tube device that irradiates X-rays to an object from a plurality of focal spots; an X-ray detector that is disposed oppositely to the X-ray tube device for detecting transmission X-rays transmitted through the object; a rotary disk that is equipped with the X-ray tube device and the X-ray detector and rotates around the object; a focal shift X-ray controller that shifts the focal spots in the X-ray tube device to arbitrary positions; a focal shift projection data generation unit that generates focal shift projection data in combination with the transmission X-rays by each of the irradiated X-rays whose focal spots were shifted to a plurality of positions by the focal shift X-ray controller; a virtual view generation unit that generates a virtual view in the view direction of the focal shift projection data to generate up-sampled projection data using the virtual view; and a reconstruction computing unit that reconstructs an image using actual data of the focal shift projection data in a central region closer to the image center than a predetermined boundary in the image plane and using the up-sampled projection data in a peripheral region outside the boundary.,4,4,4,4.0
"1. A computer being coupled to a storage apparatus, the storage apparatus providing a storage area, storage apparatus comprising a cache memory, the storage apparatus being configured to read data into the cache memory from the storage area according to a read request, and send data from the cache memory, the computer comprising: a request receiving unit being configured to receive a data processing request, and a request issuance unit being configured to determine an access usage based on the data processing request or information relating to an access usage of the data processing request, select a logical device corresponding to the determined access usage from a plurality of logical devices allocated to the storage area, and issue a read request to the selected logical device.","1. A computer being coupled to a storage apparatus, the storage apparatus providing a storage area, storage apparatus comprising a cache data storage, the storage apparatus being configured to read data into the cache data storage from the storage area according to a read request, and send data from the cache data storage, the computer comprising a request receiving unit being configured to receive a data processing request, and a request issuance unit being configured to determine an access usage based on the data processing request or information relating to an access usage of the data processing request, select a logical device corresponding to the determined access usage from a plurality of logical devices allocated to the storage area, and issue a read request to the selected logical device.",4,4,4,4.0
"1. A modeling process of at least one part of a non-axisymmetric surface of a portion of a piece, the portion being limited by a first and a second extremal plane, a plurality of blades being arranged on the circumference of the portion of the piece, the process being characterized in that it comprises performing, by data-processing means of equipment, steps of: (a) Modeling of at least two non-axisymmetric elementary surfaces making up said surface, each of the elementary surfaces extending between the two extremal planes of the portion and between two blades, and being defined by at least one construction curve extending according to a plane substantially parallel to the extremal planes, a first and a second elementary surface being juxtaposed so as to be arranged on either side of a blade, respectively on the intrados and the extrados, and presenting a junction at least C1 at the level of the extremal planes and at least one discontinuity; (b) Construction of at least one connecting curve of class C1 defined by a first and a second extremal point respectively arranged on the first and the second elementary surface, said connecting curve being tangential to the first and the second surface respectively at the first and the second extremal point; (c) Local modification of the first and second elementary surfaces so as to respect said connecting curve in the vicinity of said discontinuity; (d) Output on an interface of said equipment of the at least one part of the resulting surface.","1. A modeling process of at least one part of a non-axisymmetric surface of a portion of a piece, the portion being limited by a first and a second extremal plane, a plurality of blades being arranged on the circumference of the portion of the piece, the process being characterized in that it comprises performing, by data-processing means of equipment, steps of (a) Modeling of at least two non-axisymmetric elementary surfaces making up said surface, each of the elementary surfaces extending between the two extremal planes of the portion and between two blades, and being defined by at least one construction curve extending according to a plane substantially parallel to the extremal planes, a first and a second elementary surface being juxtaposed so as to be arranged on either side of a blade, respectively on the intrados and the extrados, and presenting a junction at least C1 at the level of the extremal planes and at least one discontinuity (b) Construction of at least one connecting curve of class C1 defined by a first and a second extremal point respectively arranged on the first and the second elementary surface, said connecting curve being tangential to the first and the second surface respectively at the first and the second extremal point (c) Local modification of the first and second elementary surfaces so as to respect said connecting curve in the vicinity of said discontinuity (d) Output on an interface of said equipment of the at least one part of the resulting surface.",3,3,3,3.0
"1. A method of treating a vascular disease comprising: inserting into a body vessel a catheter having a lumen, an end hole and a plurality of exits longitudinally disposed along the sidewall of the catheter, the end hole having a proximal opening and a distal opening; inserting through the catheter an occluding wire having an occluding element having a larger size than the size of the end hole so as to occlude the proximal opening of the end hole; and delivering a sclerosant fluid into the lumen under pressure such that the fluid flows through the exits and impinge on the wall of the body vessel without using an occlusion balloon and without using tumescent anesthesia.","1. A method of treating a vascular disease comprising: inserting into a body vessel a catheter having a lumen, an end hole and a plurality of exits longitudinally disposed along the sidewall of the catheter, the end hole having a proximal opening and a distal opening; inserting through the catheter an occluding wire having an occluding element having a larger size than the size of the end hole so as to occlude the proximal opening of the end hole; and delivering a sclerosant fluid into the lumen under pressure such that the fluid flows through the exits and impinge on the wall of the body vessel without using an occlusion balloon and without using tumescent anesthesia.",3,3,3,3.0
"1. An image display system using an electronic apparatus including a capacitive detection-type touch screen panel as an image display unit, the touch panel detecting a plurality of touch positions, the system comprising: a control unit that changes a form an object image displayed on the image display unit based on a change of set parameters or replaces the object image with another image based on the change of the set parameters, wherein the parameters are changed by an input device having a plurality of detected portions detected by the capacitive detection-type touch screen panel.","1. An image display system using an electronic apparatus including a capacitive detection-type touch screen panel as an image display unit, the touch panel detecting a plurality of touch positions, the system with a control unit that changes a form an object image displayed on the image display unit based on a change of set parameters or replaces the object image with another image based on the change of the set parameters, wherein the parameters are changed by an input device having a plurality of detected portions detected by the capacitive detection-type touch screen panel.",3,3,3,3.0
"1. An alarm notification apparatus comprising: an event detector for monitoring vital information of a body, to check whether an anomalous event has occurred to said body; a reliability evaluator for evaluating reliability of a result of detection of said anomalous event in said event detector; and a notifier for selecting at least one addressee according to said reliability among plural predetermined addressees, and notifying said selected addressee of occurrence of said anomalous event.","1. An alarm notification apparatus comprising: an event detector for monitoring vital information of a body, to check whether an anomalous event has occurred to said body; a reliability evaluator for evaluating reliability of a result of detection of said anomalous event in said event detector; and a notifier for selecting at least one addressee according to said reliability among plural predetermined addressees, and notifying said selected addressee of occurrence of said anomalous event.",4,4,4,4.0
"1. A tubeless fluid delivery device, comprising: a controller, comprising a first housing which has a first built-in circuit, wherein the first housing is provided with a first engagement part and a first insertion part electrically connected to the first built-in circuit; and a pump base combined with the controller, which comprises a second housing having a second built-in circuit, a reservoir, a piston, a push rod, a driving member and a battery, wherein the second housing is provided with a second engagement part correspondingly engaged with the first engagement part and a second insertion part electrically connected to the second built-in circuit, wherein the second insertion part is correspondingly inserted in the first insertion part to realize electrical connection between the first built-in circuit and the second built-in circuit.","1. A tubeless fluid delivery device, comprising: a controller, comprising a first housing which has a first built-in circuit , wherein the first housing is provided with a first engagement part and a first insertion part electrically connected to the first built-in circuit; and a pump base combined with the controller, which comprises a second housing having a second built-in circuit, a reservoir, a piston, a push rod, a driving member and a battery, wherein the second housing is provided with a second engagement part correspondingly engaged with the first engagement part and a second insertion part electrically connected to the second built-in circuit, wherein the second insertion part is correspondingly inserted in the first insertion part to realize electrical connection between the first built-in circuit and the second built-in circuit.",3,3,3,3.0
"1. An aeromagnetic pre-processing system based on a graphic user interface (GUI), comprising: an input unit for inputting measured aeromagnetic data, GPS data, and reference magnetic data; a data storage unit for storing individual data, collection data, and edition data on division area data groups obtained after an investigation area is divided; a GUI providing unit for providing a GUI for data input/output; an operation unit for performing an operation to perform pre-processing for each of the division area data groups and collection and leveling of the division area data groups; and a controller for controlling the input unit, the data storage unit, the GUI providing unit, and the operation unit.","1. An aeromagnetic pre-processing system based on a graphic user interface (GUI), comprising an input unit for inputting measured aeromagnetic data, GPS data, and reference magnetic data a data storage unit for storing individual data, collection data, and edition data on division area data groups obtained after an investigation area is divided a GUI providing unit for providing a GUI for data input/output an operation unit for performing an operation to perform pre-processing for each of the division area data groups and collection and leveling of the division area data groups and a controller for controlling the input unit, the data storage unit, the GUI providing unit, and the operation unit.",3,4,3,3.333333333
"1. A method of providing a touch input of a terminal, the method comprising: detecting that a posture of a user gripping an edge of the terminal is a first predetermined posture; and displaying a graphical user interface (GUI) object on a touchscreen of the terminal when the first predetermined posture is detected.","1. A method of providing a touch input of a terminal, the method comprising detecting that a posture of a user gripping an edge of the terminal is a first predetermined posture and displaying a graphical user interface (GUI) object on a touchscreen of the terminal when the first predetermined posture is detected.",3,3,3,3.0
"1. A surgical instrument for assisting in distinguishing of an anterior capsule during a cataract surgery, comprising: a ring-shaped body; and a light source provided on a bottom surface portion of the body.","1. A surgical instrument for assisting in distinguishing of an anterior capsule during a cataract surgery, comprising: a ring-shaped body; and a light source provided on a bottom surface portion of the body.",3,3,3,3.0
